,Network,User,Date,Text,Positive,Neutral,Negative,Compound
130,@FoxNews,Basilia Karasek,Fri Sep 22 05:07:46 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
131,@FoxNews,?????? ?????,Fri Sep 22 05:07:45 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
132,@FoxNews,Karie Theilman II,Fri Sep 22 05:07:45 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
133,@FoxNews,???????,Fri Sep 22 05:07:44 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
134,@FoxNews,??????? ???????,Fri Sep 22 05:07:43 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
135,@FoxNews,Retha Kermpatsos,Fri Sep 22 05:07:42 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
136,@FoxNews,Justin Katona,Fri Sep 22 05:07:42 +0000 2017,RT @krishnalikesme: @TuckerCarlson @FoxNews What does Rob Reiner have on Morgan Freeman that he got him to collaborate on this video? #blac…,0.103,0.76,0.137,-0.2263
137,@FoxNews,Honest Abe,Fri Sep 22 05:07:40 +0000 2017,@FoxNews @POTUS In real news... crazy calls out crazy https://t.co/gBstbz56sU,0.0,0.625,0.375,-0.5859
138,@FoxNews,Brother Matthew,Fri Sep 22 05:07:37 +0000 2017,"RT @FoxNews: Rob Reiner: ""When we say we are at war, we are talking about a cyber war."" #Tucker https://t.co/mPRJPv12Wh",0.0,0.694,0.306,-0.8176
139,@FoxNews,Lora Carr,Fri Sep 22 05:07:35 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
140,@FoxNews,charles bundy,Fri Sep 22 05:07:35 +0000 2017,"RT @Lcmwriter100: @FoxNews Hey, this might be something that both sides of the political sides actually agree on. We all love our dogs. And…",0.233,0.767,0.0,0.7717
141,@FoxNews,(((B. Paul Stuart))),Fri Sep 22 05:07:33 +0000 2017,"RT @BrianPaulStuart: There's at least ONE THING @TheSimpsons DID get wrong. I've corrected it:
@FoxNews — #RACIST and #1 with #RACISTS.
You…",0.0,0.866,0.134,-0.4767
142,@FoxNews,?????? ????????,Fri Sep 22 05:07:33 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
143,@FoxNews,Forrest Milich,Fri Sep 22 05:07:32 +0000 2017,RT @FoxNews: North Korea owes NYC over $156G in parking tickets https://t.co/H5XfyAYXDz via @nypost,0.0,1.0,0.0,0.0
144,@FoxNews,Dreama Stephens,Fri Sep 22 05:07:32 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
145,@FoxNews,mister cranker,Fri Sep 22 05:07:31 +0000 2017,"@FoxNews @jessebwatters @POTUS @BarackObama @TheFive It's not real bonding though, trump tells people whatever he t… https://t.co/y1Cp04ODHx",0.0,1.0,0.0,0.0
146,@FoxNews,Justin Katona,Fri Sep 22 05:07:31 +0000 2017,RT @krishnalikesme: @TuckerCarlson @FoxNews I love you Tucker Carlson! Thank you for calling out hypocrites like Rob Reiner!,0.371,0.493,0.136,0.7339
147,@FoxNews,????? ??????????,Fri Sep 22 05:07:30 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
148,@FoxNews,???Princess???,Fri Sep 22 05:07:29 +0000 2017,"RT @AlxJames10: .@FoxNews What bible they reading ?""But of that day and hour knoweth no man, no, not the angels of heaven, but my Father on…",0.076,0.811,0.113,-0.0129
149,@FoxNews,Robert,Fri Sep 22 05:07:29 +0000 2017,"@FoxNews @seanhannity @Franklin_Graham @jessebwatters  Maxine Waters caught on video DISGRACING Christian funeral
https://t.co/NQLGCFfBsE",0.0,0.828,0.172,-0.3612
150,@FoxNews,Danny Kemp,Fri Sep 22 05:07:29 +0000 2017,"@EboniKWilliams @808Buckeye74 @TheImusShow @FoxNews @curtisandeboni @TheGunzShow You whores , racist , and  haters… https://t.co/ZSmgTufMuO",0.0,0.556,0.444,-0.8402
151,@FoxNews,Mary Dailey,Fri Sep 22 05:07:28 +0000 2017,RT @TuckerCarlson: I am still not sure how Russia hacked our Democracy #Tucker @FoxNews,0.0,0.702,0.298,-0.5664
152,@FoxNews,Just Brilliant,Fri Sep 22 05:07:28 +0000 2017,"@FoxNews @Murdered_01 @POTUS Wow, color me threatened.",0.322,0.424,0.254,0.2023
153,@FoxNews,??????? ?????,Fri Sep 22 05:07:27 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
154,@FoxNews,?,Fri Sep 22 05:07:26 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
155,@FoxNews,Kiera Slota,Fri Sep 22 05:07:25 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
156,@FoxNews,Steven Northcott,Fri Sep 22 05:07:24 +0000 2017,"RT @TrumpsBlonde: With the incredible @seanhannity We love you Sean. ??Thank you @FoxNews for the amazing treatment always @joy_villa
https…",0.308,0.692,0.0,0.8402
157,@FoxNews,fpadillaIII,Fri Sep 22 05:07:24 +0000 2017,@FoxNews @marcthiessen @POTUS That wasn't tough talk! That was a clown trying to sound tough and only coming off as… https://t.co/JhENSk1qvd,0.144,0.856,0.0,0.2575
158,@FoxNews,???? ????????,Fri Sep 22 05:07:23 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
159,@FoxNews,F M N,Fri Sep 22 05:07:22 +0000 2017,@EClunie @FoxNews @jessebwatters @POTUS @realDonaldTrump @TheFive Mistaken 4more 2020,0.0,0.762,0.238,-0.3612
160,@FoxNews,Taneka Taylor,Fri Sep 22 05:07:22 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
161,@FoxNews,shorty wolfe,Fri Sep 22 05:07:21 +0000 2017,@FoxNews But not if ur an illegal immigrant?  Lol,0.209,0.522,0.269,-0.2023
162,@FoxNews,Javid Howell,Fri Sep 22 05:07:21 +0000 2017,"@JoyAnnReid Hey, @FoxNews ...",0.0,1.0,0.0,0.0
163,@FoxNews,Klara Natisha,Fri Sep 22 05:07:21 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
164,@FoxNews,???? ????????,Fri Sep 22 05:07:21 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
165,@FoxNews,W!LL,Fri Sep 22 05:07:21 +0000 2017,"@YouTubeTV @Android Also, Google Assistant integration will be a killer feature... (""Ok Google"" play @FoxNews  chan… https://t.co/P6BY7sJORB",0.116,0.676,0.208,-0.4404
166,@FoxNews,Betty Moorman,Fri Sep 22 05:07:20 +0000 2017,RT @FoxNews: Animal Abusers Could Be Made to Register Like Sex Offenders https://t.co/M61OxvKnu7,0.134,0.538,0.328,-0.5574
167,@FoxNews,????????? ????????,Fri Sep 22 05:07:20 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
168,@FoxNews,PapaSurf,Fri Sep 22 05:07:20 +0000 2017,@abhinandan_1987 @yesimpeachnow @ColBannister @FoxNews Liberals rarely are.,0.0,1.0,0.0,0.0
169,@FoxNews,????? ???????,Fri Sep 22 05:07:19 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
170,@FoxNews,Julia Connell,Fri Sep 22 05:07:19 +0000 2017,RT @kenna_dizzle: @YouTube @rhettandlink @tryguys @PhillyD @FoxNews I rest my case @streamys. I vote #DeFrancoShowForStreamys ?? @PhillyD,0.0,1.0,0.0,0.0
171,@FoxNews,Dann Forti,Fri Sep 22 05:07:18 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
172,@FoxNews,Connie White,Fri Sep 22 05:07:18 +0000 2017,"RT @AHamiltonSpirit: @JamesIsaak2 @Lesmitch529 @FoxNews @POTUS KOCH BROS BRIBE GOP-400M to cut ACA for tax cuts. @CNN @Maddow
?https://t.co…",0.0,0.701,0.299,-0.7034
173,@FoxNews,???? ????????,Fri Sep 22 05:07:18 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
174,@FoxNews,Marla,Fri Sep 22 05:07:17 +0000 2017,RT @TuckerCarlson: I am still not sure how Russia hacked our Democracy #Tucker @FoxNews,0.0,0.702,0.298,-0.5664
175,@FoxNews,????????? ????????,Fri Sep 22 05:07:17 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
176,@FoxNews,?????? ??????????,Fri Sep 22 05:07:17 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
177,@FoxNews,Candra Willis,Fri Sep 22 05:07:16 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
178,@FoxNews,?. ????????????,Fri Sep 22 05:07:14 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
179,@FoxNews,Scottie Mack,Fri Sep 22 05:07:14 +0000 2017,@KGraceHill @FoxNews @kimguilfoyle @FLOTUS @MichelleObama @TheFive Any luck on the sleeveless dress and the disgusting comment??,0.145,0.674,0.181,-0.1926
180,@FoxNews,????? ????????,Fri Sep 22 05:07:13 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
181,@FoxNews,Grace won't shut up,Fri Sep 22 05:07:13 +0000 2017,@scottiemack73 @FoxNews @kimguilfoyle @FLOTUS @MichelleObama @TheFive https://t.co/X41SIigBxX,0.0,1.0,0.0,0.0
182,@FoxNews,Sau Pauletta,Fri Sep 22 05:07:12 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
183,@FoxNews,Darth Carlinian,Fri Sep 22 05:07:12 +0000 2017,@Irondove100 @FoxNews @nikkihaley Yeah...why de-escalate it using diplomacy when we could just hit them with 200 cr… https://t.co/ENj8p2ipEz,0.0,1.0,0.0,0.0
184,@FoxNews,Mei Dinah,Fri Sep 22 05:07:09 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
185,@FoxNews,Tifany Ahmed,Fri Sep 22 05:07:08 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
186,@FoxNews,belly,Fri Sep 22 05:07:08 +0000 2017,"RT @opeyemiagbaje: I want an alternative to @DStv @DStvNg and more diversity in news channels-@FoxNews @RT_com @cspan The more, the merrier…",0.064,0.936,0.0,0.0772
187,@FoxNews,Annamae Hanson,Fri Sep 22 05:07:07 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
188,@FoxNews,Shawnna Dow,Fri Sep 22 05:07:06 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
189,@FoxNews,west,Fri Sep 22 05:07:06 +0000 2017,RT @STsegolko: ????????? @poroshenko  ????? ?? @FoxNews live https://t.co/DaZmgelGzS,0.0,1.0,0.0,0.0
190,@FoxNews,Kasandra Lura,Fri Sep 22 05:07:04 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
191,@FoxNews,ann,Fri Sep 22 05:07:02 +0000 2017,@amyserwinowski @Mike241075 @KaraLA @Luckeytiger14 @FoxNews there is absolutely proof...  and russia is a dud,0.0,0.857,0.143,-0.25
192,@FoxNews,lo sivad,Fri Sep 22 05:07:01 +0000 2017,RT @annie141630: @FoxNews Funny how you people think actors should stick to acting and yet you elect a reality TV star and you pretend  he…,0.11,0.837,0.053,0.3612
193,@FoxNews,???? ??????,Fri Sep 22 05:07:01 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
194,@FoxNews,melody goldston,Fri Sep 22 05:07:01 +0000 2017,"RT @FoxNews: .@seanhannity: ""It has now become evident, now more than ever, that in America, we have a two-tiered justice system."" #Hannity…",0.145,0.855,0.0,0.5267
195,@FoxNews,YAF UH,Fri Sep 22 05:06:58 +0000 2017,RT @ainsleyearhardt: Vice President Pence will join us on set in a few min. Tune it. @foxandfriends @FoxNews @VP #VicePresident,0.109,0.891,0.0,0.296
196,@FoxNews,Katherina Abufardeh,Fri Sep 22 05:06:58 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
197,@FoxNews,????? ???????,Fri Sep 22 05:06:58 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
198,@FoxNews,Leigh Ennis,Fri Sep 22 05:06:56 +0000 2017,@JamesRosenTV @ShannonBream @FoxNews And you continue to be the classiest guy we know- congrats to @ShannonBream,0.185,0.815,0.0,0.5267
199,@FoxNews,?????? ?????????,Fri Sep 22 05:06:53 +0000 2017,"RT @FoxNews: That moment when you think you're in trouble, but then the unexpected happens. https://t.co/08JVsbT4nu https://t.co/GTFjN6zaOt",0.0,0.896,0.104,-0.2144
200,@BBC,Shanna May ?,Fri Sep 22 05:06:10 +0000 2017,"Fun Day.  

@BBC @BBCNews @bbcmtd @BCUPressOffice @MyBCU https://t.co/XNB67PE9m9",0.32,0.68,0.0,0.5106
201,@BBC,Daggy1965,Fri Sep 22 05:03:21 +0000 2017,@CllrBSilvester @BBC See that dodo mason on again!!,0.0,1.0,0.0,0.0
202,@BBC,Susana Rangel,Fri Sep 22 05:01:56 +0000 2017,RT @LuisMaciel75: @guruchuirer @ptorres @Televisa @BBC @nbc @ABC como ven un zopilote buscando sangre para aprovecharse de la tragedia apoy…,0.0,1.0,0.0,0.0
203,@BBC,Diane Reid,Fri Sep 22 05:01:54 +0000 2017,RT @MAGsaveslives: We were honoured to host real people doing inspiring things at MAG #Vietnam. Watch @BBC #withoutlimits tonight https://t…,0.25,0.75,0.0,0.7184
204,@BBC,Thomas Marshall,Fri Sep 22 05:01:00 +0000 2017,No sleep. Watching the excellent @BBC doc on Moscow. Another place which I need to visit. Via Sans-Tribarian railway.,0.169,0.731,0.1,0.3612
205,@BBC,paladine,Fri Sep 22 05:00:13 +0000 2017,"RT @SafetyPinDaily: Melania Trump mocked online after anti-bullying speech   | Via @bbc
https://t.co/Wm4gn3xM9f",0.0,0.827,0.173,-0.3182
206,@BBC,Whoopteedoo,Fri Sep 22 04:57:39 +0000 2017,@SafetyPinDaily @BBC More #GOPlies,0.0,1.0,0.0,0.0
207,@BBC,Ignacio Valle,Fri Sep 22 04:50:33 +0000 2017,@CarmenClausse @lunfitaquerido @SAYACRISTINA @LTeresitaSilva @lukekolifa @NKollack @AlejoFerre @Nikita_20XVII… https://t.co/mjYEfQ8XFp,0.0,1.0,0.0,0.0
208,@BBC,libertynews,Fri Sep 22 04:46:58 +0000 2017,RT @ukvoteremain: @BBC @Nigel_Farage @LBC Nasty Nigel @Nigel_Farage delivers complaint  letter to BBC for airing public's comment about him…,0.0,0.746,0.254,-0.7003
209,@BBC,Sean McCloskey,Fri Sep 22 04:46:39 +0000 2017,@SafetyPinDaily @BBC She speaks about bullying because she lives with the biggest bully on the planet. She must kno… https://t.co/4PpidXYBeH,0.0,0.717,0.283,-0.7964
210,@BBC,Kevin.R.Beckenham,Fri Sep 22 04:46:34 +0000 2017,"RT @TomLondon6: Surely a Cabinet Minister flouting court orders is a big deal?
Where's MSM outrage?
Worrying if @BBC doesn't recognise grav…",0.112,0.655,0.233,-0.4871
211,@BBC,Sean McCloskey,Fri Sep 22 04:45:43 +0000 2017,"RT @SafetyPinDaily: Melania Trump mocked online after anti-bullying speech   | Via @bbc
https://t.co/Wm4gn3xM9f",0.0,0.827,0.173,-0.3182
212,@BBC,Nanci,Fri Sep 22 04:45:27 +0000 2017,RT @Haifisch_Von: @SafetyPinDaily @nlvalcke @BBC She bullies with law suits against anyone who says anything unflatering to her. Hipocrite!,0.0,1.0,0.0,0.0
213,@BBC,dogzzz,Fri Sep 22 04:44:07 +0000 2017,RT @JamesLindsay_: @NewSpaceCritic @DarkMatterFTL @CBC @CTV_Television @Global_TV @BBC @SkyUK? @Sky1? Them Brits do love them some good Sci…,0.318,0.682,0.0,0.8156
214,@BBC,Brexit Watch,Fri Sep 22 04:43:27 +0000 2017,@BBC @Nigel_Farage @LBC Nasty Nigel @Nigel_Farage delivers complaint  letter to BBC for airing public's comment abo… https://t.co/X8BXscKoNR,0.0,0.721,0.279,-0.7003
215,@BBC,ko chit,Fri Sep 22 04:42:57 +0000 2017,"@UN
@XHNews
@BBC(world)
@ABCNews
@VOANews https://t.co/JdwORac8Dx",0.0,1.0,0.0,0.0
216,@BBC,The Postman,Fri Sep 22 04:42:47 +0000 2017,@SafetyPinDaily @BBC  https://t.co/QB11AOsrrj,0.0,1.0,0.0,0.0
217,@BBC,Haifisch Von,Fri Sep 22 04:42:39 +0000 2017,@SafetyPinDaily @nlvalcke @BBC She bullies with law suits against anyone who says anything unflatering to her. Hipocrite!,0.0,1.0,0.0,0.0
218,@BBC,Profanity Jane,Fri Sep 22 04:42:12 +0000 2017,@SafetyPinDaily @BBC As she should have been. Girl needs to go home and fix her own shit before she starts lecturing the world. #fraud,0.0,0.865,0.135,-0.5574
219,@BBC,"CLOWN SHOES, PEOPLE.",Fri Sep 22 04:42:00 +0000 2017,"@SafetyPinDaily @BBC Heck of a job, Frownie!",0.0,1.0,0.0,0.0
220,@BBC,Morris Wells,Fri Sep 22 04:41:51 +0000 2017,RT @JamesLindsay_: @NewSpaceCritic @DarkMatterFTL @CBC @CTV_Television @Global_TV @BBC @SkyUK? @Sky1? Them Brits do love them some good Sci…,0.318,0.682,0.0,0.8156
221,@BBC,David A. Duemler,Fri Sep 22 04:41:50 +0000 2017,@SafetyPinDaily @BBC Was anyone involved actually caught off guard by the reaction?  Is irony that dead?,0.0,0.705,0.295,-0.7059
222,@BBC,Nanci,Fri Sep 22 04:40:59 +0000 2017,"RT @SafetyPinDaily: Melania Trump mocked online after anti-bullying speech   | Via @bbc
https://t.co/Wm4gn3xM9f",0.0,0.827,0.173,-0.3182
223,@BBC,OBAMACLINTONLIBERAL,Fri Sep 22 04:40:40 +0000 2017,@LynnLynniepoo @KeithOlbermann @chrislhayes @maddow @MalcolmNance @amjoyshow @JoeNBC @CNN @Evan_McMullin… https://t.co/YQHcxXX55g,0.0,1.0,0.0,0.0
224,@BBC,Relacsashon ?,Fri Sep 22 04:39:39 +0000 2017,"RT @SafetyPinDaily: Melania Trump mocked online after anti-bullying speech   | Via @bbc
https://t.co/Wm4gn3xM9f",0.0,0.827,0.173,-0.3182
225,@BBC,OBAMACLINTONLIBERAL,Fri Sep 22 04:39:36 +0000 2017,@LynnLynniepoo @KeithOlbermann @chrislhayes @maddow @MalcolmNance @amjoyshow @JoeNBC @CNN @Evan_McMullin… https://t.co/WtEoVFX02c,0.0,1.0,0.0,0.0
226,@BBC,George Sr,Fri Sep 22 04:39:13 +0000 2017,RT @AmbaPikin: @UN @antonioguterres Finish the job NOW #FreeSouthernCameroons #RestorationNow #UNGA72 @LeahHardingAJE @BBC @RFI_English @in…,0.0,1.0,0.0,0.0
227,@BBC,Bookworm,Fri Sep 22 04:39:00 +0000 2017,RT @JamesLindsay_: @NewSpaceCritic @DarkMatterFTL @CBC @CTV_Television @Global_TV @BBC @SkyUK? @Sky1? Them Brits do love them some good Sci…,0.318,0.682,0.0,0.8156
228,@BBC,BigDad,Fri Sep 22 04:38:52 +0000 2017,RT @mrskin: Obviously I know what scene the @BBC employee was watching! @AnnaPaquin @TrueBloodHBO #NudesAt10 https://t.co/rLXsealDf4 https:…,0.0,1.0,0.0,0.0
229,@BBC,Vice President Pence,Fri Sep 22 04:38:51 +0000 2017,"https://t.co/rN9StDIcpO Lana, you gotta hear this!: @LanaDelRey @NME @uriminzok_engl @RollingStone @VP @realDonaldTrump @SubPopPodcast @BBC",0.0,1.0,0.0,0.0
230,@BBC,Don Delury,Fri Sep 22 04:38:01 +0000 2017,@SafetyPinDaily @BBC The last time I saw that outfit it had a Barney head. https://t.co/SPdyvUSl0E,0.0,1.0,0.0,0.0
231,@BBC,OBAMACLINTONLIBERAL,Fri Sep 22 04:36:54 +0000 2017,@LynnLynniepoo @KeithOlbermann @chrislhayes @maddow @MalcolmNance @amjoyshow @JoeNBC @CNN @Evan_McMullin… https://t.co/RHnkMq0D3g,0.0,1.0,0.0,0.0
232,@BBC,Yo con #Morena,Fri Sep 22 04:36:12 +0000 2017,@BBC https://t.co/cOsrxZZBFG,0.0,1.0,0.0,0.0
233,@BBC,Ryan Bullas,Fri Sep 22 04:36:07 +0000 2017,"RT @WDillahunt: Ken Burns PBS Series The Vietnam War is mesmerizing and horrifying, a must watch for all Americans. @KenBurns @PBS @BBC",0.0,0.714,0.286,-0.8225
234,@BBC,The Postman,Fri Sep 22 04:35:53 +0000 2017,"@SafetyPinDaily @BBC Childhood bully for a husband, who wants to ramp up the NWO war machine. I'm not mocking her.… https://t.co/XycjtjluWP",0.086,0.645,0.269,-0.7043
235,@BBC,OBAMACLINTONLIBERAL,Fri Sep 22 04:35:50 +0000 2017,@LynnLynniepoo @KeithOlbermann @chrislhayes @maddow @MalcolmNance @amjoyshow @JoeNBC @CNN @Evan_McMullin… https://t.co/pppFqmI4Z1,0.0,1.0,0.0,0.0
236,@BBC,Maureen Simkins,Fri Sep 22 04:35:21 +0000 2017,@BuildOurAmerica @AP @BBC @FoxNews @CNN @UN We are going to starve them! You'll see! ??? One day that shits gonna get intercepted!,0.0,0.744,0.256,-0.783
237,@BBC,Diane Schultz  ??,Fri Sep 22 04:33:49 +0000 2017,"RT @SafetyPinDaily: Melania Trump mocked online after anti-bullying speech   | Via @bbc
https://t.co/Wm4gn3xM9f",0.0,0.827,0.173,-0.3182
238,@BBC,Fraülein Welsh?,Fri Sep 22 04:33:45 +0000 2017,@jongaunt @BBCNews @Nigel_Farage @BBC may i suggest tht u carry out investigations on urself b4 pointing ur finger… https://t.co/WeqRkfWi1j,0.0,1.0,0.0,0.0
239,@BBC,DorthyRSlotwinski,Fri Sep 22 04:33:21 +0000 2017,"RT @SafetyPinDaily: Melania Trump mocked online after anti-bullying speech   | Via @bbc
https://t.co/Wm4gn3xM9f",0.0,0.827,0.173,-0.3182
240,@BBC,Don Delury,Fri Sep 22 04:33:19 +0000 2017,"RT @SafetyPinDaily: Melania Trump mocked online after anti-bullying speech   | Via @bbc
https://t.co/Wm4gn3xM9f",0.0,0.827,0.173,-0.3182
241,@BBC,OBAMACLINTONLIBERAL,Fri Sep 22 04:32:52 +0000 2017,@LynnLynniepoo @KeithOlbermann @chrislhayes @maddow @MalcolmNance @amjoyshow @JoeNBC @CNN @Evan_McMullin… https://t.co/ETjmB4MSux,0.0,1.0,0.0,0.0
242,@BBC,Tudor Rashoff,Fri Sep 22 04:31:18 +0000 2017,"RT @CllrBSilvester: This is crazy
Every week #REMOANERS outnumber the #LEAVERS
The @BBC campaign to keep us in the EU,so BBC can keep its E…",0.0,0.909,0.091,-0.34
243,@BBC,OBAMACLINTONLIBERAL,Fri Sep 22 04:30:34 +0000 2017,@LynnLynniepoo @KeithOlbermann @chrislhayes @maddow @MalcolmNance @amjoyshow @JoeNBC @CNN @Evan_McMullin… https://t.co/hHjbAB5f1X,0.0,1.0,0.0,0.0
244,@BBC,Zella,Fri Sep 22 04:30:31 +0000 2017,"RT @SafetyPinDaily: Melania Trump mocked online after anti-bullying speech   | Via @bbc
https://t.co/Wm4gn3xM9f",0.0,0.827,0.173,-0.3182
245,@BBC,SafetyPin-Daily,Fri Sep 22 04:30:11 +0000 2017,"Melania Trump mocked online after anti-bullying speech   | Via @bbc
https://t.co/Wm4gn3xM9f",0.0,0.796,0.204,-0.3182
246,@BBC,Néstor Molina.,Fri Sep 22 04:29:53 +0000 2017,@dw @ActualidadRT @rtve @teleSURtv @luzmoraleda @alexmelon @BBC @cnnespana @nytimesES @RedeGlobo @TVN @LeonKrauze… https://t.co/aPyehwgoo9,0.0,1.0,0.0,0.0
247,@BBC,OBAMACLINTONLIBERAL,Fri Sep 22 04:29:52 +0000 2017,@LynnLynniepoo @KeithOlbermann @chrislhayes @maddow @MalcolmNance @amjoyshow @JoeNBC @CNN @Evan_McMullin… https://t.co/n54zJUpG5Z,0.0,1.0,0.0,0.0
248,@BBC,Ethereal Heart Fdn,Fri Sep 22 04:28:49 +0000 2017,RT @gayasktn: @BBC bends the knee to #Tories: #ClimateChange denial is the new holocaust denial @AdamRutherford right to speak out https://…,0.0,1.0,0.0,0.0
